魚の名前,英名,保存した画像ファイル名,分類,解説,image2,image3
バリアブルジョーフィッシュ,Variable jawfish,variablejawfish1.jpg,アゴアマダイ科,"全長：10cm
生息：ガレ場に穴を掘って生活する。
分布：インドネシア、フィリピン、ミクロネシア
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆",欠損,欠損
イエローヘッドジョーフィッシュ,Yelloehead jawfish,yelloeheadjawfish1.jpg,アゴアマダイ科,"全長：10cm
生息：ガレ場に穴を掘って生活する。
分布：カリブ海
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆
口内で卵を守り付加させる。",yelloeheadjawfish3.jpg,yelloeheadjawfish4.jpg
イエローバードジョーフィッシュ,Yellowbarred jawfish,yellowbarredjawfish1.jpg,アゴアマダイ科,"全長：12cm
生息：海底に垂直の穴を掘って住んでいる
分布：インドネシア、フィリピンなど
レア度：★★★★☆

人気：★★★★☆

撮り易さ：★★★☆☆",yellowbarredjawfish5.jpg,yellowbarredjawfish2.jpg
アイゴ,Dusky rabbitfish,aigo1.jpg,アイゴ科,"全長：30cm
生息：沿岸の岩礁域
分布：下北半島以南の日本近海からグレートバリアリーフ
レア度：★☆☆☆☆
人気：★☆☆☆☆
撮り易さ：★★☆☆☆",aigo5.jpg,aigo3.jpg
ヒメアイゴ,Virgate rabbitfish,himeaigo5.jpg,アイゴ科,"全長：25cm
生息：0
-
12m
のサンゴ礁域
分布：紀伊半島以南、インドから西太平洋
レア度：★★★☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",himeaigo3.jpg,himeaigo4.jpg
ゴマアイゴ,Golden rabbitfish,gomaaigo2.jpg,アイゴ科,"全長：40cm
生息：河口汽水域や内湾に
分布：琉球列島、インドから西太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",gomaaigo1.jpg,欠損
ハナアイゴ,Forktail rabbitfish,hanaaigo1.jpg,アイゴ科,"全長：25cm
生息：サンゴ礁域
分布：南日本からグレートバリアリーフ
レア度：★★☆☆☆
人気：★☆☆☆☆
撮り易さ：★★☆☆☆",欠損,欠損
ブチアイゴ,Gold-spotted rabbitfish,buchiaigo1.jpg,アイゴ科,"全長：25cm
生息：サンゴ礁域
分布：高知県以南、インドから西部太平洋
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",欠損,欠損
サンゴアイゴ,Coral rabbitfish,sangoaigo2.jpg,アイゴ科,"全長：25cm
生息：0
-
18m
のサンゴ礁域
分布：琉球列島からグレートバリアリーフ
レア度：★★☆☆☆
人気：★★☆☆☆
撮り易さ：★★☆☆☆",sangoaigo4.jpg,sangoaigo3.jpg
ヒフキアイゴ,Onespot rabbitfish,hifukiaigo3.jpg,アイゴ科,"全長：25cm
生息：0
-
30m
のサンゴ礁域
分布：琉球列島、フィリピン、北西オーストラリア
レア度：★★★☆☆
人気：★★★☆☆
撮り易さ：★★☆☆☆",hifukiaigo6.jpg,hifukiaigo4.jpg
