分類,収録数
ハゼ科,204
スズメダイ科,148
ハタ科,95
ベラ科,90
チョウチョウウオ科,66
テンジクダイ科,44
キンチャクダイ科,39
イソギンポ科,38
アジ科,34
ニザダイ科,28
イサキ科,25
ブダイ科,23
フサカサゴ科,23
ウツボ科,20
ヨウジウオ科,20
イットウダイ科,19
フエダイ科,18
エイ科,15
フグ科,15
ネズッポ科,15
サメ,15
ヒメジ科,14
アイゴ科,13
フエフキダイ科,13
カワハギ科,13
モンガラカワハギ科,13
タカサゴ科,13
イトヨリダイ科,12
トラギス科,12
ゴンベ科,11
クロユリハゼ科,11
エソ科,9
ヘビギンポ科,9
カエルアンコウ科,8
カマス科,8
ダルマガレイ科,7
イスズミ科,7
有鱗目科,7
ハコフグ科,6
ハタンポ科,6
コケギンポ科,6
アナゴ科,5
ハリセンボン科,5
キツネアマダイ科,5
コチ科,5
メギス科,5
ニシン科,5
サバ科,5
アゴアマダイ科,4
カジカ科,4
キントキダイ科,4
マンジュウダイ科,4
ウバウオ科,4
ハオコゼ科,3
クジラ偶蹄目,3
クロサギ科,3
ニベ科,3
タイ科,3
ウミヘビ科,3
ベラギンポ科,2
ボラ科,2
ダツ科,2
ゴンズイ科,2
グランマ科,2
ヘコアユ科,2
ヘラヤガラ科,2
ホウボウ科,2
イシダイ科,2
カメ目,2
カミソリウオ科,2
コバンザメ科,2
labrisomus科,2
メジナ科,2
タカノホダイ科,2
ウミタナゴ科,2
アサヒギンポ科,1
アシロ科,1
ダンゴウオ科,1
ガマアンコウ科,1
ヒラメ科,1
ホタテエソ科,1
イボオコゼ科,1
カゴカキダイ科,1
カライワシ科,1
カタクチイワシ科,1
カワビシャ科,1
キス科,1
マツカサウオ科,1
ムツ科,1
オニオコゼ科,1
オオメワラスボ科,1
ササウシノシタ科,1
セミホウボウ科,1
ソトイワシ科,1
スギ科,1
タカベ科,1
タナバタウオ科,1
トウゴロウイワシ科,1
ツノダシ科,1
ウミテング科,1
ユゴイ科,1
